# Every wallpaper in the set.
# Free to use, anywhere, no attribution required.
#
# The first seven fields come from `titles.tsv`; the last three are measured.
#
# Ten tab separated fields:
#
#   file       the image, in this directory
#   title      what the caption button says
#   place      the real place, or empty when there is not one
#   width      pixels
#   height     pixels
#   zone       IANA time zone for the place, or empty
#   note       what is in the picture. One sentence, present tense, no
#              adjectives doing work a noun could do.
#   fact       one true thing about the place, or `-` when there is none
#   light      the light in the picture: dawn, day, dusk, night, or empty
#              when it cannot be told
#   luminance  mean relative luminance, measured
#
# file	title	place	width	height	zone	note	fact	light	luminance
place-antelope.png	Antelope Canyon, Arizona	Antelope Canyon, Arizona	1376	768	America/Phoenix	Sandstone walls worn into waves, lit from a slot far overhead.	Arizona is one of the few places in the United States that does not change its clocks, so for half the year it reads the same as California and for the other half the same as Colorado.	day	0.1183
place-atacama.png	Atacama Desert, Chile	Atacama Desert, Chile	1376	768	America/Santiago	The Milky Way standing over a dry salt basin, mountains low on the horizon.	Parts of it have gone decades without measurable rain, which is why the largest telescopes on earth are built there.	night	0.0252
place-bagan.png	Bagan, Myanmar	Bagan, Myanmar	1376	768	Asia/Yangon	Brick temples standing out of the morning haze across the plain.	Myanmar keeps its clocks half an hour off the hour, which only a handful of countries do.	dawn	0.298
place-banaue.png	Banaue, Philippines	Banaue, Philippines	1376	768	Asia/Manila	Flooded rice terraces stepping up a mountainside, each one holding the last of the light.	They were cut into the mountain by hand and are still watered from the rainforest above them.	dusk	0.1312
place-causeway.png	Giant's Causeway, Northern Ireland	Giant's Causeway, Northern Ireland	1376	768	Europe/London	Basalt columns stepping down into the sea, the water gone to mist in a long exposure.	There are around forty thousand of them, mostly hexagons, left where a lava flow cooled and cracked.	night	0.0492
place-deadvlei.png	Deadvlei, Namibia	Deadvlei, Namibia	1376	768	Africa/Windhoek	Dead camelthorn trees on a white clay pan, red dunes behind them.	The trees have been dead for roughly nine hundred years and are still standing. It is too dry there for them to rot.	day	0.3334
place-ergchebbi.png	Erg Chebbi, Morocco	Erg Chebbi, Morocco	1376	768	Africa/Casablanca	Moonlit dune ridges running in parallel curves, the crests bright and the flanks black.	The dunes reach about a hundred and fifty metres and move enough between years to be measured.	night	0.0939
place-fuji.png	Mount Fuji, Japan	Mount Fuji, Japan	1376	768	Asia/Tokyo	The cone across a lake, snow still on the upper third.	It is an active volcano. The last eruption was in 1707 and ash reached Tokyo, a hundred kilometres away.	dawn	0.1411
place-glencoe.png	Glencoe, Scotland	Glencoe, Scotland	1376	768	Europe/London	First light on the ridges above a glen, the floor of it still dark.	The glen is what is left of a supervolcano that collapsed into its own magma chamber around four hundred and twenty million years ago.	dawn	0.1674
place-hardangervidda.png	Hardangervidda, Norway	Hardangervidda, Norway	1376	768	Europe/Oslo	A snow plateau under a low moon, wind carved ridges running to the horizon.	It is the largest high mountain plateau in Europe, and Europe's last big herd of wild reindeer crosses it.	night	0.0727
place-hoh.png	Hoh Rainforest, Washington	Hoh Rainforest, Washington	1376	768	America/Los_Angeles	Rain coming down through moss hung branches, everything green and wet.	It takes three to four metres of rain a year, and one spot inside it is marked as among the quietest places in the United States.	day	0.1204
place-lofoten.png	Lofoten, Norway	Lofoten, Norway	1376	768	Europe/Oslo	Sharp peaks straight out of the sea, with the water going green in the shallows.	It sits above the Arctic Circle, so from late May to mid July the sun does not set at all.	night	0.0959
place-milford.png	Milford Sound, New Zealand	Milford Sound, New Zealand	1376	768	Pacific/Auckland	Cliffs dropping into dark water, cloud caught halfway down.	It is one of the wettest inhabited places on earth, and it is not a sound. A sound is carved by a river and this was carved by a glacier, which makes it a fiord.	day	0.0994
place-moraine.png	Moraine Lake, Canada	Moraine Lake, Canada	1376	768	America/Edmonton	A lake of an improbable blue under bare grey peaks.	The colour is rock ground to flour by the glaciers above it. The powder hangs in the water and scatters the blue back out.	day	0.2201
place-plitvice.png	Plitvice Lakes, Croatia	Plitvice Lakes, Croatia	1376	768	Europe/Zagreb	Water stepping down through sixteen lakes, turquoise between the trees.	The barriers holding the lakes apart are still being built. Moss and algae lay down limestone as the water runs over them, so the shape of the place changes over a lifetime.	day	0.2051
place-saovicente.png	Cabo de Sao Vicente, Portugal	Cabo de Sao Vicente, Portugal	1376	768	Europe/Lisbon	A lighthouse beam sweeping out over the Atlantic from the top of a dark cliff.	Roman writers put the end of the world here and believed the sun went into the sea hissing. Its light is one of the strongest in Europe.	night	0.0682
place-skye.png	Isle of Skye, Scotland	Isle of Skye, Scotland	1376	768	Europe/London	Green ridges under low cloud, the sea somewhere behind.	The Cuillin ridge is gabbro, which is rough enough to climb in bare hands and magnetic enough to send a compass wrong.	day	0.1472
place-sumava.png	Sumava, Czechia	Sumava, Czechia	1376	768	Europe/Prague	Spruce trunks going up out of frame under a star field, snow between them.	With the Bavarian Forest across the German border it makes the largest unbroken stretch of forest in central Europe.	night	0.0272
place-torres.png	Torres del Paine, Chile	Torres del Paine, Chile	1376	768	America/Punta_Arenas	Three granite towers over a pale lake, in hard clear light.	The wind off the Southern Patagonian Ice Field regularly passes a hundred kilometres an hour and has been known to knock walkers over.	dusk	0.0921
place-trecime.png	Tre Cime di Lavaredo, Italy	Tre Cime di Lavaredo, Italy	1376	768	Europe/Rome	Three limestone blocks standing alone above the scree.	The front line ran through here in the First World War, and there are tunnels cut through the rock by soldiers who fought at three thousand metres.	day	0.2121
place-uluru.png	Uluru, Australia	Uluru, Australia	1376	768	Australia/Darwin	The rock at last light, the desert around it already going blue.	The red is iron in the surface of the sandstone that has oxidised. The colour is rust.	dusk	0.0945
place-uyuni.png	Salar de Uyuni, Bolivia	Salar de Uyuni, Bolivia	1376	768	America/La_Paz	A film of water on a salt flat holding the whole sky, horizon somewhere in the middle.	It is the largest salt flat on earth and flat enough that satellites use it to calibrate their altimeters.	dawn	0.5267
place-vestrahorn.png	Vestrahorn, Iceland	Vestrahorn, Iceland	1376	768	Atlantic/Reykjavik	A black sand beach with a many-peaked mountain rising straight off it.	Iceland keeps the same time all year and never changes its clocks, which puts sunrise in midsummer at about three in the morning.	dusk	0.1786
place-yangshuo.png	Yangshuo, China	Yangshuo, China	1376	768	Asia/Shanghai	Karst peaks standing out of river mist, each one paler than the one in front.	This stretch of the Li River is the landscape printed on the back of the twenty yuan note.	dawn	0.2815
place-zhangjiajie.png	Zhangjiajie, China	Zhangjiajie, China	1376	768	Asia/Shanghai	Sandstone pillars going up out of the forest, tops lost in mist.	The whole of China runs on one clock, so in the far west the sun can come up at ten in the morning.	day	0.2795
quiet-beach.png	An empty shore		1376	768		Sand, shallow water and nothing else in the frame.	-	dusk	0.0729
quiet-forestpath.png	A path through the trees		1376	768		A track going in under a closed canopy.	-	day	0.1201
