# Wallpaper catalog used by the installer.
# Fields: file, title, place, time zone, note, fact, light.
# Keep the captions and place facts short and checkable.
#
# file	title	place	zone	note	fact	light
place-antelope.png	Antelope Canyon, Arizona	Antelope Canyon, Arizona	America/Phoenix	Sandstone walls worn into waves, lit from a slot far overhead.	Arizona is one of the few places in the United States that does not change its clocks, so for half the year it reads the same as California and for the other half the same as Colorado.	day
place-bagan.png	Bagan, Myanmar	Bagan, Myanmar	Asia/Yangon	Brick temples standing out of the morning haze across the plain.	Myanmar keeps its clocks half an hour off the hour, which only a handful of countries do.	dawn
place-deadvlei.png	Deadvlei, Namibia	Deadvlei, Namibia	Africa/Windhoek	Dead camelthorn trees on a white clay pan, red dunes behind them.	The trees have been dead for roughly nine hundred years and are still standing. It is too dry there for them to rot.	day
place-fuji.png	Mount Fuji, Japan	Mount Fuji, Japan	Asia/Tokyo	The cone across a lake, snow still on the upper third.	It is an active volcano. The last eruption was in 1707 and ash reached Tokyo, a hundred kilometres away.	dawn
place-lofoten.png	Lofoten, Norway	Lofoten, Norway	Europe/Oslo	Sharp peaks straight out of the sea, with the water going green in the shallows.	It sits above the Arctic Circle, so from late May to mid July the sun does not set at all.	night
place-milford.png	Milford Sound, New Zealand	Milford Sound, New Zealand	Pacific/Auckland	Cliffs dropping into dark water, cloud caught halfway down.	It is one of the wettest inhabited places on earth, and it is not a sound. A sound is carved by a river and this was carved by a glacier, which makes it a fiord.	day
place-moraine.png	Moraine Lake, Canada	Moraine Lake, Canada	America/Edmonton	A lake of an improbable blue under bare grey peaks.	The colour is rock ground to flour by the glaciers above it. The powder hangs in the water and scatters the blue back out.	day
place-plitvice.png	Plitvice Lakes, Croatia	Plitvice Lakes, Croatia	Europe/Zagreb	Water stepping down through sixteen lakes, turquoise between the trees.	The barriers holding the lakes apart are still being built. Moss and algae lay down limestone as the water runs over them, so the shape of the place changes over a lifetime.	day
place-skye.png	Isle of Skye, Scotland	Isle of Skye, Scotland	Europe/London	Green ridges under low cloud, the sea somewhere behind.	The Cuillin ridge is gabbro, which is rough enough to climb in bare hands and magnetic enough to send a compass wrong.	day
place-torres.png	Torres del Paine, Chile	Torres del Paine, Chile	America/Punta_Arenas	Three granite towers over a pale lake, in hard clear light.	The wind off the Southern Patagonian Ice Field regularly passes a hundred kilometres an hour and has been known to knock walkers over.	dusk
place-trecime.png	Tre Cime di Lavaredo, Italy	Tre Cime di Lavaredo, Italy	Europe/Rome	Three limestone blocks standing alone above the scree.	The front line ran through here in the First World War, and there are tunnels cut through the rock by soldiers who fought at three thousand metres.	day
place-vestrahorn.png	Vestrahorn, Iceland	Vestrahorn, Iceland	Atlantic/Reykjavik	A black sand beach with a many-peaked mountain rising straight off it.	Iceland keeps the same time all year and never changes its clocks, which puts sunrise in midsummer at about three in the morning.	dusk
place-zhangjiajie.png	Zhangjiajie, China	Zhangjiajie, China	Asia/Shanghai	Sandstone pillars going up out of the forest, tops lost in mist.	The whole of China runs on one clock, so in the far west the sun can come up at ten in the morning.	day
quiet-beach.png	An empty shore			Sand, shallow water and nothing else in the frame.	-	dusk
quiet-forestpath.png	A path through the trees			A track going in under a closed canopy.	-	day
quiet-frost.png	Frost on the grass			Close on frozen blades, everything else out of focus.	-
quiet-lonetree.png	One tree in an open field			A single tree with room around it and a plain sky behind.	-	day
quiet-meadow.png	A meadow in summer			Long grass and flowers, the light low and warm.	-	dusk
quiet-rainleaves.png	Rain on leaves			Water sitting on green leaves, close enough to see it hold.	-
quiet-reeds.png	Reeds at the water's edge			Reeds standing in still water with the far bank soft behind them.	-	dawn
quiet-river.png	A river between hills			A river running out of frame between two slopes.	-	day
quiet-snowpine.png	Snow on the pines			Snow held on dark branches, the air full of it.	-
quiet-stream.png	A stream over stones			Shallow water breaking over rounded stones.	-	day
wild-bioluminescence.png	Vaadhoo, Maldives	Vaadhoo, Maldives	Indian/Maldives	The water along the shoreline lit blue from inside it.	The light is made by single-celled plankton that flash when the water around them moves, so the glow follows the waves and your own footprints.	night
wild-duststorm.png	A dust storm crossing the dunes			A wall of dust moving across a dune field.	-	day
wild-icecave.png	Vatnajokull, Iceland	Vatnajokull, Iceland	Atlantic/Reykjavik	The inside of a glacier, the ice blue where it is thickest.	The caves are made each winter by meltwater draining through the ice, and most of them are gone by spring. They are never the same twice.	day
wild-lava.png	Kilauea, Hawaii	Kilauea, Hawaii	Pacific/Honolulu	Fresh lava crossing dark rock, glowing along the cracks.	Hawaii does not change its clocks either, so for half the year it is two hours behind California and for the other half it is three.	night
wild-storm.png	A storm over open grassland			A storm cloud built up over flat country, rain visible under it.	-	dusk
