# What a log line means, in words.
#
# One literal string per row, and what it means when it turns up. Read by
# `bin/aurade-explain`, which is what turns four hundred lines of kernel
# messages into two sentences somebody can act on.
#
# Six tab separated fields:
#
#   key       the literal that appears in the log, byte for byte. A literal and
#             never a pattern: a thousand of them match in one pass, anybody
#             can search for one and find the driver that prints it, and it
#             cannot quietly become clever.
#   source    kernel, pacman, systemd, efi, luks, installer. `--source` narrows
#             a scan to one of these.
#   severity  fault, warn or note.
#             fault  something is broken and the reader has to do something
#             warn   something is degraded and will probably still work
#             note   this looks alarming and is normal. Hidden unless --all.
#   what      what happened. One or two sentences. For a note, lead with the
#             reassurance, the same way a failure screen leads with the disk.
#   do        what to do, in one sentence, or `-` when the honest answer is
#             nothing at all.
#   evidence  where the string is emitted, so an entry can be checked rather
#             than believed. For kernel rows this is `path:line` in the kernel
#             source, and `tools/verify-hardware-notes.sh` checks every one of
#             them against a real tree. A row that nothing emits is worse than
#             no row at all, because it never fires and so is never noticed.
#
# The voice is the one in UI_CONTRACT.md, and it applies here harder than
# anywhere else: this file is read by somebody who is already worried. No
# jargon they have not already got, no hexadecimal, and never an account of
# how the computer knows. Say what happened, then say what to do.
#
# The `note` rows are not filler. Most of what looks frightening in a kernel
# log is normal, and somebody who cannot tell which is which pastes all four
# hundred lines somewhere and waits. Saying "nothing is wrong" about the right
# lines is the half of this file that saves a person an evening.
timeout, reset controller	kernel	fault	The drive stopped answering, so Linux reset it and carried on.	Copy anything you care about off this drive before you install. A drive that does this is often on its way out.	drivers/nvme/host/core.c:4476
controller is down; will reset	kernel	fault	The drive stopped responding altogether and Linux is restarting it.	Copy anything you care about off this drive before you install.	drivers/nvme/host/pci.c:1400
Device not ready; aborting	kernel	fault	The drive did not come back after a reset.	Shut the computer down fully, wait ten seconds, then start it again. A restart alone does not always power the drive down.	drivers/nvme/host/core.c:2435
failed to set APST feature	kernel	warn	The drive refused a power saving setting Linux asked for.	On some laptops the drive then stops answering later in the install. Add nvme_core.default_ps_max_latency_us=0 to the boot options and try again.	drivers/nvme/host/core.c:2747
Failed to read smart log	kernel	note	Nothing is wrong. The drive did not report its own health figures.	-	drivers/nvme/host/hwmon.c:248
exception Emask	kernel	fault	The drive reported an error and the command had to be retried.	Check the SATA cable at both ends first. A loose or worn cable causes this far more often than a failing drive does.	drivers/ata/libata-eh.c:2433
hard resetting link	kernel	warn	Linux reset the connection to the drive to get it answering again.	Check the SATA cable at both ends. One of these on its own is normal, and a run of them is not.	drivers/ata/libata-eh.c:2792
SATA link down	kernel	note	Nothing is wrong. There is no drive attached to that port.	-	drivers/ata/libata-core.c:3233
link is slow to respond	kernel	note	Nothing is wrong. The drive is taking its time to wake up and Linux is waiting for it.	-	drivers/ata/libata-core.c:3659
limiting SATA link speed	kernel	warn	Linux slowed the connection to the drive down to keep it stable.	The drive will work and it will be slower. A different cable usually fixes it.	drivers/ata/libata-sata.c:594
NCQ disabled due to excessive errors	kernel	warn	Linux turned off a speed feature because the drive kept getting it wrong.	The drive will work and it will be slower. Check the cable, then check the drive for faults.	drivers/ata/libata-eh.c:1895
revalidation failed	kernel	fault	The drive stopped identifying itself the way it did a moment ago.	Copy anything you care about off this drive. Do not install onto it until you have checked it for faults.	drivers/ata/libata-core.c:3933
failed to resume link	kernel	warn	The connection to the drive did not come back after the computer woke up.	Restart the computer rather than waking it. This is a firmware problem and a full restart clears it.	drivers/ata/libata-sata.c:331
device reported invalid CHS sector 0	kernel	note	Nothing is wrong. The drive answered an old question in an old way.	-	drivers/ata/libata-core.c:676
device descriptor read/64, error	kernel	warn	A USB device did not answer when Linux asked what it was.	Move it to a different USB socket, and use one on the computer itself rather than a hub.	drivers/usb/core/hub.c:5064
unable to enumerate USB device	kernel	fault	A USB device is plugged in and Linux cannot talk to it.	Move it to a different USB socket. If it is the drive you started the installer from, write the image again onto a different USB stick.	drivers/usb/core/hub.c:5615
